id,nom,groupe,subject_group_id,teaching_type_id
15,LITTÉRATURE,"Groupe 1",,3
16,INFORMATIQUE,"Groupe 2",,3
17,"LANGUE FRANçAISE","Groupe 1",,3
18,PHILISOPHIE,"Groupe 1",,3
19,PHILISOPHIE,"Groupe 1",,3
20,ANGLAIS,"Groupe 1",,3
21,"LANGUE VIVANTE II","Groupe 1",,3
22,GEOGRAPHIE,"Groupe 2",,3
23,HISTOIRE,"Groupe 2",,3
24,ECM,"Groupe 2",,3
25,MATHEMATIQUES,"Groupe 2",,3
26,SCIENCES,"Groupe 2",,3
27,TM,"Groupe 3",,3
28,"LANGUES NATIONALLES","Groupe 2",,3
30,"EDUCATION ARTISTIQUE","Groupe 2",,3
31,"TRAVAIL MANUEL","Groupe 3",,3
32,EPS,"Groupe 3",,3
33,MATHEMATIQUES,"Groupe 2",,3
34,MATHEMATIQUES,"Groupe 2",,3
35,MATHEMATIQUES,"Groupe 2",,3
36,PHYSIQUE,"Groupe 2",,3
37,PHYSIQUE,"Groupe 2",,3
38,CHIMIE,"Groupe 2",,3
39,CHIMIE,"Groupe 2",,3
40,INFORMATIQUE,"Groupe 2",,3
41,INFORMATIQUE,"Groupe 2",,3
42,INFORMATIQUE,"Groupe 2",,3
43,SVTEEHB,"Groupe 2",,3
44,LITTÉRATURE,"Groupe 1",,3
45,"LANGUE FRANçAISE","Groupe 1",,3
46,ANGLAIS,"Groupe 1",,3
47,SVTEEHB,"Groupe 2",,3
48,PHILOSOPHIE,"Groupe 1",,3
49,PHILOSOPHIE,"Groupe 1",,3
50,HISTOIRE,"Groupe 1",,3
51,GEOGRAPHIE,"Groupe 1",,3
52,ECM,"Groupe 1",,3
53,SVTEEHB,"Groupe 2",,3
54,MATHEMATIQUES,"Groupe 2",,3
55,CHIMIE,"Groupe 2",,3
56,INFORMATIQUE,"Groupe 2",,3
57,PHYSIQUE,"Groupe 2",,3
58,HISTOIRE,"Groupe 1",,3
59,GEOGRAPHIE,"Groupe 1",,3
60,EPS,"Groupe 3",,3
61,"TRAVAIL MANUEL","Groupe 3",,3
63,Histoire/Géographie,"Groupe 1",,3
