subject_id,nom,groupe,matched_group_id,matched_group_libelle,match_type
15,LITTÉRATURE,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
17,"LANGUE FRANçAISE","Groupe 1",1,"Groupe 1 - Matières Littéraires",like
18,PHILISOPHIE,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
19,PHILISOPHIE,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
20,ANGLAIS,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
21,"LANGUE VIVANTE II","Groupe 1",1,"Groupe 1 - Matières Littéraires",like
44,LITTÉRATURE,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
45,"LANGUE FRANçAISE","Groupe 1",1,"Groupe 1 - Matières Littéraires",like
46,ANGLAIS,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
48,PHILOSOPHIE,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
49,PHILOSOPHIE,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
50,HISTOIRE,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
51,GEOGRAPHIE,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
52,ECM,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
58,HISTOIRE,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
59,GEOGRAPHIE,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
63,Histoire/Géographie,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
64,Anglais,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
65,"Economie d'entreprise","Groupe 1",1,"Groupe 1 - Matières Littéraires",like
66,Français,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
70,Droit,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
71,ECM,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
72,"Economie générale","Groupe 1",1,"Groupe 1 - Matières Littéraires",like
80,Philosophie,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
240,Français,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
241,Anglais,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
242,ECM,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
259,Entrepreneuriat,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
269,Anglais,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
270,ECM,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
271,HISTOIRE/Géographie,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
274,Français,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
299,ECM,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
312,"Législation du travail","Groupe 1",1,"Groupe 1 - Matières Littéraires",like
331,"Financial Accounting","Groupe 1",1,"Groupe 1 - Matières Littéraires",like
334,Economic,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
335,"Corporate Accounting","Groupe 1",1,"Groupe 1 - Matières Littéraires",like
341,Economic,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
342,Geography,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
344,English,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
350,French,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
353,"Literature in  English","Groupe 1",1,"Groupe 1 - Matières Littéraires",like
354,History,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
357,ENGLISH,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
359,FRENCH,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
370,ENGLISH,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
372,FRENCH,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
383,ENGLISH,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
384,LITERATURE,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
385,FRENCH,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
386,GEOGRAPHY,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
388,HISTORY,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
403,ECM,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
405,Hygiène,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
410,Anglais,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
412,Français,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
413,Législation,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
417,Français,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
422,"Etude de  texte","Groupe 1",1,"Groupe 1 - Matières Littéraires",like
423,"Correction orthographie","Groupe 1",1,"Groupe 1 - Matières Littéraires",like
424,"Expression ecrite","Groupe 1",1,"Groupe 1 - Matières Littéraires",like
425,Anglais,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
426,ECM,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
427,Espagnol,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
428,HISTOIRE,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
429,Geographie,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
453,Français,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
454,Anglais,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
456,Législation,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
458,Commerce,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
463,Commerce,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
467,ECM,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
475,Histoire/Géographie,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
477,Français,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
479,"Économie générale","Groupe 1",1,"Groupe 1 - Matières Littéraires",like
481,PRP,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
484,ECM,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
489,EPS,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
492,Anglais,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
493,ECM,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
494,Informatique,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
495,Législation,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
496,Français,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
509,"Matière Inactive 6a65595b9953a","Groupe 1",1,"Groupe 1 - Matières Littéraires",like
511,"Matière Inactive 6a655981c60fe","Groupe 1",1,"Groupe 1 - Matières Littéraires",like
531,TEST_AUTO_20260826_054246,"Groupe 1",1,"Groupe 1 - Matières Littéraires",like
16,INFORMATIQUE,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
22,GEOGRAPHIE,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
23,HISTOIRE,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
24,ECM,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
25,MATHEMATIQUES,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
26,SCIENCES,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
28,"LANGUES NATIONALLES","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
30,"EDUCATION ARTISTIQUE","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
33,MATHEMATIQUES,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
34,MATHEMATIQUES,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
35,MATHEMATIQUES,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
36,PHYSIQUE,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
37,PHYSIQUE,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
38,CHIMIE,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
39,CHIMIE,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
40,INFORMATIQUE,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
41,INFORMATIQUE,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
42,INFORMATIQUE,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
43,SVTEEHB,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
47,SVTEEHB,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
53,SVTEEHB,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
54,MATHEMATIQUES,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
55,CHIMIE,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
56,INFORMATIQUE,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
57,PHYSIQUE,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
67,"Mathematique Générale","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
68,"Redaction Professionnelle","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
73,GIF,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
76,Mathematiques,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
77,"Finance d'entreprise","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
78,"Mathématiques Appliquées","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
79,Management,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
81,MOB,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
82,RPC,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
83,OTA,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
84,"Prise de parole rapide","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
85,TAS,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
86,Bureautique,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
87,Comptabilité,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
88,Statistiques,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
89,"Examen de Laboratoire","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
90,"Gestion des ressources humaines","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
91,GSS,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
92,"Santé publique","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
93,"Soins infirmiers","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
94,"Terminologie Médical","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
95,BPPH,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
96,Bureautique,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
97,"Science physique","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
98,"Action sociale","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
234,"Metier et formation","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
236,"Connaissance des materiaux","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
237,"Dessin technique","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
243,Informatique,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
244,Mathematiques,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
245,"Sciences physique","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
247,Materiaux,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
248,Ajustage,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
249,RESEO,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
250,"Technologie professionnel","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
251,Tracage,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
252,RESEO,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
253,"Schema electrique","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
256,Technologie,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
257,"Machine electrique","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
258,"Dessin technique","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
262,"Dessin Industriel","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
263,Exploitation,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
264,"Mecanique Appliquée","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
265,Métré,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
266,"Procédé de Construction","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
267,Réglementation,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
268,Topographie,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
272,INFORMATIQUE,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
273,Mathematiques,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
275,"Sciences Physiques","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
276,"Dessin Technique","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
278,Montage,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
279,TPFA,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
