subject_id,before_subject_group_id,after_subject_group_id
15,,1
16,,2
17,,1
18,,1
19,,1
20,,1
21,,1
22,,2
23,,2
24,,2
25,,2
26,,2
27,,3
28,,2
30,,2
31,,3
32,,3
33,,2
34,,2
35,,2
36,,2
37,,2
38,,2
39,,2
40,,2
41,,2
42,,2
43,,2
44,,1
45,,1
46,,1
47,,2
48,,1
49,,1
50,,1
51,,1
52,,1
53,,2
54,,2
55,,2
56,,2
57,,2
58,,1
59,,1
60,,3
61,,3
63,,1
64,,1
65,,1
66,,1
67,,2
68,,2
70,,1
71,,1
72,,1
73,,2
74,,3
75,,3
76,,2
77,,2
78,,2
79,,2
80,,1
81,,2
82,,2
83,,2
84,,2
85,,2
86,,2
87,,2
88,,2
89,,2
90,,2
91,,2
92,,2
93,,2
94,,2
95,,2
96,,2
97,,2
98,,2
234,,2
236,,2
237,,2
238,,3
239,,3
240,,1
241,,1
242,,1
243,,2
244,,2
245,,2
246,,3
247,,2
248,,2
249,,2
250,,2
251,,2
252,,2
253,,2
256,,2
257,,2
258,,2
259,,1
260,,3
261,,3
262,,2
263,,2
264,,2
265,,2
266,,2
267,,2
268,,2
269,,1
270,,1
271,,1
272,,2
273,,2
274,,1
275,,2
276,,2
277,,3
278,,2
279,,2
280,,2
281,,2
282,,2
283,,2
284,,2
285,,2
286,,2
287,,2
288,,2
289,,2
290,,2
291,,2
292,,2
293,,2
294,,2
295,,2
296,,2
297,,2
298,,2
299,,1
300,,2
301,,2
302,,2
303,,2
304,,2
305,,3
306,,2
307,,2
308,,2
309,,2
310,,2
311,,2
312,,1
314,,2
315,,2
316,,3
317,,2
319,,2
320,,2
321,,2
322,,2
323,,2
325,,2
326,,2
327,,2
328,,2
329,,2
330,,2
331,,1
333,,2
334,,1
335,,1
336,,2
337,,2
338,,3
341,,1
342,,1
343,,2
344,,1
345,,2
346,,2
347,,2
348,,2
349,,2
350,,1
351,,3
352,,2
353,,1
354,,1
355,,2
357,,1
359,,1
363,,3
364,,2
365,,2
366,,2
367,,2
368,,2
370,,1
372,,1
376,,3
377,,2
379,,2
380,,2
381,,2
382,,2
383,,1
384,,1
385,,1
386,,1
387,,2
388,,1
389,,3
390,,2
391,,2
392,,2
393,,2
394,,2
395,,2
396,,2
397,,2
398,,2
399,,2
400,,2
401,,2
403,,1
405,,1
406,,3
407,,2
408,,2
409,,2
410,,1
411,,2
412,,1
413,,1
414,,2
415,,2
416,,2
417,,1
418,,2
419,,3
420,,2
421,,2
422,,1
423,,1
424,,1
425,,1
426,,1
427,,1
428,,1
429,,1
431,,2
432,,2
433,,2
434,,2
435,,2
436,,2
437,,2
438,,2
439,,2
440,,2
441,,2
442,,2
444,,3
445,,2
446,,2
447,,2
448,,3
449,,2
450,,2
451,,2
452,,2
453,,1
454,,1
455,,2
456,,1
457,,2
458,,1
459,,2
460,,2
461,,3
462,,2
463,,1
464,,2
465,,2
466,,2
467,,1
468,,2
469,,2
470,,2
473,,2
475,,1
476,,2
477,,1
478,,2
479,,1
480,,2
481,,1
482,,2
483,,2
484,,1
485,,2
486,,3
487,,3
488,,2
489,,1
492,,1
493,,1
494,,1
495,,1
496,,1
497,,2
531,,1
